project_name;agent;shield;shield_memory;nu;safety_probability;full_safety_probability;goal_reachability;reward;shield_calls;blocked_actions;evaluation_time
test-corridor;greedy-iter-100;constructed-self-constructing-unsafe;0;0.2;0.12441100000000002;0.12441100000000002;0.976045471357;93.678493039391;3.7640578796390036;1.046828528265001;0.0058135986328125
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.03554112743442138;0.035541149131146074;0.21631212058461535;2.7370198204558767;44.5395235855012;7.614987703855554;0.440626859664917
test-corridor;greedy-iter-100;constructed-self-constructing-unsafe;0;0.2;0.12473100000000001;0.12473100000000001;0.982926052974;94.656280446583;3.4698176268770076;0.7350816968090012;0.0074155330657958984
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.042789944695787986;0.04278998464322058;0.21524343848086722;3.21583540436382;44.55612439964092;7.167789909803569;0.5625042915344238
test-corridor;greedy-iter-100;constructed-self-constructing-unsafe;0;0.2;0.12476100000000001;0.12476100000000001;0.986245776404;95.127359464733;3.329293948427011;0.5866865780990008;0.007764101028442383
slippy-drone;greedy-iter-4000;constructed-self-constructing-unsafe;0;0.2;0.12089206156920404;0.12089206156920404;0.32053101367390624;-8.709744462887798;40.549442195793134;25.21474755164226;2.5539326667785645
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.047567573546660434;0.047567631571727796;0.21456872090466916;3.5177318804816533;44.56609474403195;6.888062987088905;0.6910736560821533
test-corridor;greedy-iter-100;constructed-self-constructing-unsafe;0;0.2;0.12477200000000001;0.12477200000000001;0.9874321175737999;95.2949164101959;3.2798441339061157;0.5344961881145006;0.007420063018798828
test-corridor;greedy-iter-100;constructed-self-constructing-unsafe;0;0.2;0.124783;0.124783;0.9884203463673699;95.43428929935266;3.2389131501396475;0.49132623307429085;0.00804758071899414
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.051023737734568364;0.051023818054432596;0.21409484285311575;3.743382283252438;44.57286684926065;6.6906255652894435;0.8209176063537598
slippy-drone;greedy-iter-4000;constructed-self-constructing-unsafe;0;0.2;0.13306031190987064;0.13306031190987064;0.37674219810117554;-1.511430846767162;38.919214890399196;22.88186146502021;3.0756354331970215
test-corridor;greedy-iter-100;constructed-self-constructing-unsafe;0;0.2;0.12488300000000001;0.12488300000000001;0.9895122503673699;95.59068120335266;3.1913304061396466;0.4415200610742911;0.008851289749145508
